stop_id,stop_name,stop_code,stop_lat,stop_lon,location_type,stop_url
639,"CNO PAJAS BLANCAS - AV CAP LEAL DE IBARRA",639,-34.861088,-56.330567,0,"https://m.montevideo.gub.uy/comoir/parada?numero=639"
640,"AV CAP LEAL DE IBARRA - CNO PAJAS BLANCAS",640,-34.861243,-56.330898,0,"https://m.montevideo.gub.uy/comoir/parada?numero=640"
641,"CNO PAJAS BLANCAS - AV CAP LEAL DE IBARRA",641,-34.860885,-56.331301,0,"https://m.montevideo.gub.uy/comoir/parada?numero=641"
642,"AV CAP LEAL DE IBARRA y CAP NAV ESTANISLAO COURAD",642,-34.863012,-56.332706,0,"https://m.montevideo.gub.uy/comoir/parada?numero=642"
643,"AV CAP LEAL DE IBARRA y JACINTO ALTOLAGUIRRE",643,-34.863504,-56.333038,0,"https://m.montevideo.gub.uy/comoir/parada?numero=643"
644,"AV CAP LEAL DE IBARRA y CAP PEDRO DE MESA Y CASTRO",644,-34.865885,-56.334709,0,"https://m.montevideo.gub.uy/comoir/parada?numero=644"
645,"AV CAP LEAL DE IBARRA - CAP PEDRO DE MESA Y CASTRO",645,-34.865878,-56.334619,0,"https://m.montevideo.gub.uy/comoir/parada?numero=645"
646,"AV CAP LEAL DE IBARRA - CAP PEDRO DE MESA Y CASTRO",646,-34.866687,-56.335545,0,"https://m.montevideo.gub.uy/comoir/parada?numero=646"
647,"CAP PEDRO DE MESA Y CASTRO y JUAN JOSE ELIZALDE",647,-34.867985,-56.334186,0,"https://m.montevideo.gub.uy/comoir/parada?numero=647"
648,"CAP PEDRO DE MESA Y CASTRO - RAMON CLAIRAC",648,-34.869689,-56.331028,0,"https://m.montevideo.gub.uy/comoir/parada?numero=648"
649,"CAP PEDRO DE MESA Y CASTRO - FRANCISCO GIL LEMOS",649,-34.868335,-56.332513,0,"https://m.montevideo.gub.uy/comoir/parada?numero=649"
650,"CAP PEDRO DE MESA Y CASTRO - AV CAP LEAL DE IBARRA",650,-34.867273,-56.335277,0,"https://m.montevideo.gub.uy/comoir/parada?numero=650"
651,"AV CAP LEAL DE IBARRA y BERNARDO BONAVIA",651,-34.868336,-56.336793,0,"https://m.montevideo.gub.uy/comoir/parada?numero=651"
652,"AV CAP LEAL DE IBARRA y RAMON FERNANDEZ VILLEGAS",652,-34.868889,-56.337162,0,"https://m.montevideo.gub.uy/comoir/parada?numero=652"
653,"CNO PAJAS BLANCAS - JUAN JOSE ELIZALDE",653,-34.861748,-56.329501,0,"https://m.montevideo.gub.uy/comoir/parada?numero=653"
654,"CNO PAJAS BLANCAS - SBRE DE PASO DE 10 MTS",654,-34.861876,-56.329063,0,"https://m.montevideo.gub.uy/comoir/parada?numero=654"
655,"CNO PAJAS BLANCAS y DR HUGO EDUARDO GATTI",655,-34.864087,-56.324944,0,"https://m.montevideo.gub.uy/comoir/parada?numero=655"
656,"CNO PAJAS BLANCAS y DR HUGO EDUARDO GATTI",656,-34.864161,-56.324617,0,"https://m.montevideo.gub.uy/comoir/parada?numero=656"
